team_name,season_year,sos_adj_factor,sos_z
UTEP,2018,0.0,-0.003717611228541578
Southern,2018,0.0,-1.5724150433199864
Illinois State,2018,0.09352727765734278,0.9352727765734278
West Virginia,2018,0.17126435318643432,1.7126435318643431
Elon,2018,0.0,-0.2977827104652921
North Florida,2018,0.0,-0.3221373386264004
Michigan,2018,0.15878666253145624,1.5878666253145621
Texas Tech,2018,0.1755327296037671,1.7553272960376707
Presbyterian,2018,0.0,-1.043190347096074
SMU,2018,0.056898610930093,0.56898610930093
Cal State Northridge,2018,0.0,-0.6719536666558793
Colgate,2018,0.0,-0.9645126176834091
Kansas,2018,0.2,2.2390680348771674
Alabama State,2018,0.0,-1.247986170562822
Maryland-Eastern Shore,2018,0.0,-1.1598622649212584
Charlotte,2018,0.007961206938115655,0.07961206938115654
Arkansas State,2018,0.0,-0.4490018914876133
Vermont,2018,0.0,-0.4284665620616559
Cal State Fullerton,2018,0.0,-0.2699170732621522
Murray State,2018,0.0,-0.6219552719208571
Longwood,2018,0.0,-0.8544487034321446
Stephen F. Austin,2018,0.0,-1.2786651739853165
Toledo,2018,0.0,-0.17437336837406486
Washington State,2018,0.1031652597104254,1.0316525971042538
Robert Morris,2018,0.0,-0.885550481121226
Albany,2018,0.0,-0.9934303168399521
Princeton,2018,0.0,-0.20060183941359877
Nicholls State,2018,0.0,-1.1486448501246374
Cal Poly,2018,0.0,-0.3459111017542736
Baylor,2018,0.15116295228302767,1.5116295228302767
Marist,2018,0.0,-0.5972941285320679
Seattle,2018,0.0,-0.736835450125498
Omaha,2018,0.01805883562416936,0.1805883562416936
San Diego,2018,0.0011102631297685405,0.011102631297685404
Saint Bonaventure,2018,0.06855530274170725,0.6855530274170725
Georgia State,2018,0.0,-0.4688648435148489
Northern Illinois,2018,0.0,-0.12868299610136028
Southeastern Louisiana,2018,0.0,-1.0436455161002363
Gardner-Webb,2018,0.0,-0.7417232406898747
Army,2018,0.0,-1.17297321449551
Maine,2018,0.0,-0.5852874445763676
Utah,2018,0.1257167284926414,1.257167284926414
Northern Kentucky,2018,0.0,-0.7218651424309902
Northern Arizona,2018,0.0,-0.08952330061898454
Arizona State,2018,0.12230310798820553,1.2230310798820552
Utah Valley,2018,0.0,-0.4266350401813039
Wake Forest,2018,0.16016866415028064,1.6016866415028062
Texas A&M,2018,0.2,2.0239452338805135
Loyola Chicago,2018,0.05405509032475069,0.5405509032475069
San Jose State,2018,0.058444910783328655,0.5844491078332865
Alcorn State,2018,0.0,-1.515756234136255
Delaware State,2018,0.0,-1.5103074871588111
Providence,2018,0.1887544725339123,1.887544725339123
Eastern Kentucky,2018,0.0,-0.5513453060140374
College of Charleston,2018,0.0,-0.7165119398637445
South Carolina State,2018,0.0,-1.3770247749646416
UC Davis,2018,0.0,-0.3631532609071597
Bowling Green,2018,0.0,-0.45743585899160866
Virginia Military Institute,2018,0.0,-0.6612680980433308
Bucknell,2018,0.0,-0.49359006050308113
Penn State,2018,0.1446309109963105,1.4463091099631051
Auburn,2018,0.14530445817896834,1.4530445817896833
Montana State,2018,0.0,-0.6161363415752072
Eastern Illinois,2018,0.0,-0.50079633176273
LSU,2018,0.16139672068566804,1.6139672068566804
Utah State,2018,0.05089392327036525,0.5089392327036525
Saint Louis,2018,0.04614519453085776,0.4614519453085776
Buffalo,2018,0.010611151280954786,0.10611151280954786
Memphis,2018,0.032081391629123344,0.32081391629123346
Rutgers,2018,0.09631335534030556,0.9631335534030556
Northwestern,2018,0.14564896732287314,1.4564896732287314
UTSA,2018,0.0,-0.2637966064083842
